last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Donaldson, Josh,518626,288,13.2,35.8,111.7,90.9,95.3,86.7,429,166,397,124,43.2,30,10.4,6.4
Heim, Jonah,641680,287,17.6,29.3,110.6,89.5,92.4,89.4,418,171,382,117,40.8,19,6.6,4.7
Odor, Rougned,596059,286,22.6,29.4,109.7,87.9,93,85.3,431,177,401,98,34.3,20,7,4.7
Candelario, Jeimer,600869,286,13.7,37.1,110.7,87.3,93,83,445,165,400,99,34.6,24,8.4,5.8
Miranda, Jose,669304,286,14.8,33.6,109.4,89.3,94.4,85.9,428,165,387,126,44.1,19,6.6,4.8
Walsh, Jared,665120,285,10.7,34,112.1,90.1,94.1,87.8,427,159,387,121,42.5,27,9.5,5.9
Ramírez, Harold,623912,284,3.6,33.5,113.7,88.9,91.6,88,432,137,362,117,41.2,14,4.9,3.8
Polanco, Jorge,593871,284,21.7,37.3,111,89,93.1,83.1,451,196,402,110,38.7,29,10.2,6.5
Harrison, Josh,543281,282,14.8,31.2,105.6,86.9,89.4,85.9,414,158,383,85,30.1,10,3.5,2.7
Tapia, Raimel,606132,281,4.1,28.5,111.7,87.8,91,85.7,441,135,400,107,38.1,15,5.3,4.1
Muncy, Max,571970,281,21,33.8,111.2,90.1,95.6,82.2,443,201,391,125,44.5,39,13.9,8
Cooper, Garrett,643265,281,8.1,37.7,112.6,89.4,94,84.5,446,167,408,121,43.1,30,10.7,6.9
Voit, Luke,572228,280,18.1,33.2,111.3,90.4,95.8,81.8,452,192,406,127,45.4,43,15.4,8.8
Senzel, Nick,669222,280,12,35.7,109.5,87,90.5,85.6,410,155,378,92,33.1,9,3.2,2.3
Perez, Salvador,521692,279,17.9,35.1,112.4,92,95.5,88.5,454,194,409,138,49.5,32,11.5,7.9
Urías, Luis,649966,277,18.2,33.9,109.7,87.1,91.1,83.8,428,180,394,99,35.7,22,7.9,5.2
Anderson, Tim,641313,277,3.3,37.5,108.7,88.2,92.7,84.9,411,138,385,114,41.2,16,5.8,4.6
Melendez, MJ,669004,275,14.7,31.6,110.8,90.8,94,88,436,175,411,119,43.3,27,9.8,6.1
Donovan, Brendan,680977,275,6.6,33.1,104.5,86.9,91,84,403,142,385,96,34.9,8,2.9,2
